method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,1,6.487000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,2,6.554000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,3,6.556000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,4,6.487000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,64,heap,5,6.456000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,1,17.086000,1.000000,9.600768,0.034948,17.043000,0.042000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,2,16.990000,1.000000,9.600768,0.034948,16.949000,0.040000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,3,17.033000,1.000000,9.600768,0.034948,16.991000,0.041000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,4,16.983000,1.000000,9.600768,0.034948,16.942000,0.040000,0,0,0,0,0
SQ8-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,5,16.949000,1.000000,9.600768,0.034948,16.907000,0.041000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,1,17.194000,1.000000,9.600768,0.034948,17.107000,0.085000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,2,17.095000,1.000000,9.600768,0.034948,17.014000,0.080000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,3,17.095000,1.000000,9.600768,0.034948,17.012000,0.081000,0,0,0,0,0
SQ8-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,4,17.217000,1.000000,9.600768,0.034948,17.131000,0.084000,0,0,0,0,0
