method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
FastScan-ADC-M16-p500-b64,fsadc,16,500,1,0,64,u8lut-block,1.897143,1.000000,0.000000,0.032080,0.879650,0.885120,0.097310,1.806829,3.298816
FastScan-ADC-M16-p500-b128,fsadc,16,500,1,0,128,u8lut-block,1.949239,1.000000,0.000000,0.035180,0.908720,0.900580,0.101150,1.816139,3.299840
FastScan-ADC-M16-p500-b128,fsadc,16,500,1,0,128,u8lut-block,2.413399,1.000000,0.000000,0.042100,1.095480,1.139280,0.132080,1.832881,3.299840
FastScan-ADC-M16-p500-b128,fsadc,16,500,1,0,128,u8lut-block,2.149331,1.000000,0.000000,0.037010,0.975490,1.019850,0.114460,1.912356,3.299840
FastScan-ADC-M16-p1000-b16,fsadc,16,1000,1,0,16,u8lut-block,2.321909,1.000000,0.000000,0.034520,1.160840,0.931630,0.188860,1.912420,3.298304
FastScan-ADC-M16-p1000-b16,fsadc,16,1000,1,0,16,u8lut-block,2.346388,1.000000,0.000000,0.036440,1.174160,0.948270,0.184490,1.899983,3.298304
FastScan-ADC-M16-p1000-b16,fsadc,16,1000,1,0,16,u8lut-block,2.476489,1.000000,0.000000,0.037300,1.215470,1.000690,0.218570,1.882635,3.298304
FastScan-ADC-M16-p1000-b32,fsadc,16,1000,1,0,32,u8lut-block,2.135392,1.000000,0.000000,0.034460,0.949530,0.956730,0.190780,1.814942,3.298304
FastScan-ADC-M16-p1000-b32,fsadc,16,1000,1,0,32,u8lut-block,2.255286,1.000000,0.000000,0.037570,1.001310,1.016440,0.195540,2.008527,3.298304
FastScan-ADC-M16-p1000-b32,fsadc,16,1000,1,0,32,u8lut-block,5.595955,1.000000,0.000000,0.086790,2.730160,2.326010,0.440220,1.924770,3.298304
FastScan-ADC-M16-p1000-b64,fsadc,16,1000,1,0,64,u8lut-block,1.935180,1.000000,0.000000,0.031170,0.863120,0.865890,0.172020,1.931511,3.298816
FastScan-ADC-M16-p1000-b64,fsadc,16,1000,1,0,64,u8lut-block,2.534143,1.000000,0.000000,0.041570,1.150830,1.129490,0.207840,1.742691,3.298816
FastScan-ADC-M16-p1000-b64,fsadc,16,1000,1,0,64,u8lut-block,2.790515,1.000000,0.000000,0.044770,1.240800,1.242750,0.256310,1.943907,3.298816
FastScan-ADC-M16-p1000-b128,fsadc,16,1000,1,0,128,u8lut-block,1.966022,1.000000,0.000000,0.031950,0.849850,0.901610,0.179920,1.762410,3.299840
FastScan-ADC-M16-p1000-b128,fsadc,16,1000,1,0,128,u8lut-block,2.050765,1.000000,0.000000,0.032840,0.878470,0.947200,0.189460,1.787776,3.299840
FastScan-ADC-M16-p1000-b128,fsadc,16,1000,1,0,128,u8lut-block,1.560537,1.000000,0.000000,0.025130,0.669790,0.704720,0.158310,1.869477,3.299840
FastScan-ADC-M16-p1500-b16,fsadc,16,1500,1,0,16,u8lut-block,2.022358,1.000000,0.000000,0.028040,0.967870,0.784060,0.239510,1.949078,3.298304
FastScan-ADC-M16-p1500-b16,fsadc,16,1500,1,0,16,u8lut-block,2.511836,1.000000,0.000000,0.036260,1.220430,0.974580,0.273640,1.793939,3.298304
FastScan-ADC-M16-p1500-b16,fsadc,16,1500,1,0,16,u8lut-block,2.056208,1.000000,0.000000,0.029840,0.982810,0.795610,0.244290,1.899002,3.298304
FastScan-ADC-M16-p1500-b32,fsadc,16,1500,1,0,32,u8lut-block,2.312345,1.000000,0.000000,0.037030,0.995240,0.997170,0.278480,1.798336,3.298304
FastScan-ADC-M16-p1500-b32,fsadc,16,1500,1,0,32,u8lut-block,2.408249,1.000000,0.000000,0.037400,1.051920,1.037150,0.277010,1.667551,3.298304
FastScan-ADC-M16-p1500-b32,fsadc,16,1500,1,0,32,u8lut-block,2.599047,1.000000,0.000000,0.042060,1.140970,1.112800,0.298000,1.857486,3.298304
FastScan-ADC-M16-p1500-b64,fsadc,16,1500,1,0,64,u8lut-block,1.802715,1.000000,0.000000,0.029500,0.757410,0.768380,0.243910,1.931253,3.298816
FastScan-ADC-M16-p1500-b64,fsadc,16,1500,1,0,64,u8lut-block,2.155564,1.000000,0.000000,0.032930,0.930600,0.930260,0.257260,1.715694,3.298816
