experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SQ8,SQ8-LUT,4,p,300,4.399418,1.000000,3.871678,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,140.390000,
SQ8,SQ8-LUT,8,p,300,2.928946,1.000000,5.815446,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,141.226000,
SQ8,SQ8-LUT,16,p,300,2.405908,1.000000,7.079709,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,220.024000,
SQ8,SQ8-LUT,32,p,300,2.359366,1.000000,7.219367,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,840.406000,
SQ8,SQ8-LUT,1,p,400,17.636648,1.000000,0.965780,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,215.516000,
SQ8,SQ8-LUT,2,p,400,8.887974,1.000000,1.916424,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,182.704000,
SQ8,SQ8-LUT,4,p,400,4.447784,1.000000,3.829576,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,201.098000,
SQ8,SQ8-LUT,8,p,400,2.857042,1.000000,5.961805,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,192.796000,
SQ8,SQ8-LUT,16,p,400,2.622440,1.000000,6.495145,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,442.840000,
SQ8,SQ8-LUT,32,p,400,2.450000,1.000000,6.952297,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,929.716000,
SQ8,SQ8-LUT,1,p,450,17.628754,1.000000,0.966213,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,234.064000,
SQ8,SQ8-LUT,2,p,450,8.828014,1.000000,1.929441,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,171.696000,
SQ8,SQ8-LUT,4,p,450,4.443016,1.000000,3.833686,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,215.484000,
SQ8,SQ8-LUT,8,p,450,3.151604,1.000000,5.404590,9.600768,0.045104,0.000000,0.000000,0.000000,0.000000,224.040000,
