method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,2,18.215000,1.000000,9.600768,0.042659,17.963000,0.250000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,3,18.072000,1.000000,9.600768,0.042659,17.819000,0.251000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,4,17.996000,1.000000,9.600768,0.042659,17.746000,0.248000,0,0,0,0,0
SQ8-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,5,17.870000,1.000000,9.600768,0.042659,17.620000,0.248000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,1,18.586000,1.000000,9.600768,0.042659,18.081000,0.503000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,2,18.519000,1.000000,9.600768,0.042659,18.021000,0.496000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,3,18.714000,1.000000,9.600768,0.042659,18.193000,0.519000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,4,18.703000,1.000000,9.600768,0.042659,18.187000,0.514000,0,0,0,0,0
SQ8-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,5,18.579000,1.000000,9.600768,0.042659,18.070000,0.508000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,1,19.729000,1.000000,9.600768,0.042659,18.700000,1.027000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,2,19.800000,1.000000,9.600768,0.042659,18.770000,1.028000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,3,19.748000,1.000000,9.600768,0.042659,18.724000,1.022000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,4,19.709000,1.000000,9.600768,0.042659,18.701000,1.006000,0,0,0,0,0
SQ8-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,5,19.638000,1.000000,9.600768,0.042659,18.651000,0.985000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,1,22.563000,1.000000,9.600768,0.042659,20.225000,2.335000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,2,22.703000,1.000000,9.600768,0.042659,20.300000,2.401000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,3,22.740000,1.000000,9.600768,0.042659,20.325000,2.413000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,4,22.453000,1.000000,9.600768,0.042659,20.166000,2.285000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,5,22.523000,1.000000,9.600768,0.042659,20.216000,2.304000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,1,26.940000,1.000000,9.600768,0.042659,22.355000,4.582000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,2,26.909000,1.000000,9.600768,0.042659,22.332000,4.575000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,3,27.021000,1.000000,9.600768,0.042659,22.420000,4.599000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,4,27.194000,1.000000,9.600768,0.042659,22.548000,4.644000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,5,26.946000,1.000000,9.600768,0.042659,22.402000,4.541000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,1,2.864000,0.015000,9.600768,0.042659,2.830000,0.032000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,2,2.799000,0.015000,9.600768,0.042659,2.768000,0.029000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,3,2.853000,0.015000,9.600768,0.042659,2.821000,0.030000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,4,2.766000,0.015000,9.600768,0.042659,2.736000,0.029000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,5,2.667000,0.015000,9.600768,0.042659,2.640000,0.026000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,1,2.914000,0.040000,9.600768,0.042659,2.854000,0.058000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,2,2.742000,0.040000,9.600768,0.042659,2.692000,0.048000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,3,2.745000,0.040000,9.600768,0.042659,2.697000,0.046000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,4,2.724000,0.040000,9.600768,0.042659,2.677000,0.046000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,5,2.931000,0.040000,9.600768,0.042659,2.874000,0.054000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,1,3.132000,0.090000,9.600768,0.042659,2.992000,0.137000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,2,2.985000,0.090000,9.600768,0.042659,2.865000,0.118000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,3,2.973000,0.090000,9.600768,0.042659,2.861000,0.110000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,4,2.985000,0.090000,9.600768,0.042659,2.871000,0.112000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,5,2.980000,0.090000,9.600768,0.042659,2.865000,0.112000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,1,3.794000,0.140000,9.600768,0.042659,3.494000,0.298000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,2,3.806000,0.140000,9.600768,0.042659,3.537000,0.267000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,3,3.846000,0.140000,9.600768,0.042659,3.575000,0.268000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,4,3.795000,0.140000,9.600768,0.042659,3.524000,0.269000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,5,3.805000,0.140000,9.600768,0.042659,3.531000,0.272000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,1,4.462000,0.255000,9.600768,0.042659,3.862000,0.598000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,2,4.436000,0.255000,9.600768,0.042659,3.847000,0.585000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,3,4.398000,0.255000,9.600768,0.042659,3.821000,0.574000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,4,4.382000,0.255000,9.600768,0.042659,3.811000,0.568000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,5,4.436000,0.255000,9.600768,0.042659,3.843000,0.591000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,1,6.255000,0.480000,9.600768,0.042659,4.760000,1.493000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,2,6.144000,0.480000,9.600768,0.042659,4.717000,1.424000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,3,6.164000,0.480000,9.600768,0.042659,4.714000,1.447000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,4,6.168000,0.480000,9.600768,0.042659,4.733000,1.432000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,5,6.237000,0.480000,9.600768,0.042659,4.772000,1.462000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,1,9.323000,0.685000,9.600768,0.042659,6.119000,3.200000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,2,9.397000,0.685000,9.600768,0.042659,6.171000,3.223000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,3,9.317000,0.685000,9.600768,0.042659,6.129000,3.185000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,4,9.347000,0.685000,9.600768,0.042659,6.147000,3.197000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,5,9.149000,0.685000,9.600768,0.042659,6.060000,3.086000,0,0,0,0,0
PQ-ADC-M8-p100,ARM-aarch64-NEON,100000,96,20,10,8,256,100,1,0,heap,1,1.338000,0.650000,0.898304,1.205489,1.299000,0.038000,0,0,0,0,0
PQ-ADC-M8-p100,ARM-aarch64-NEON,100000,96,20,10,8,256,100,1,0,heap,2,1.329000,0.650000,0.898304,1.205489,1.296000,0.032000,0,0,0,0,0
PQ-ADC-M8-p100,ARM-aarch64-NEON,100000,96,20,10,8,256,100,1,0,heap,3,1.326000,0.650000,0.898304,1.205489,1.293000,0.032000,0,0,0,0,0
